                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.58927,                  0.392,                 1.2675,                      1,                0.78465,                0.84122,                0.65088,                 1.0912,                0.79877,                 1.8249,             0.00028302,             0.00028302,             0.00028302
                    124,                0.63908,                0.44196,                 1.3412,                0.99137,                0.78947,                0.84301,                0.66212,                 1.0186,                0.69428,                  1.719,             0.00026997,             0.00026997,             0.00026997
                    125,                0.58178,                0.40699,                 1.3563,                0.99396,                0.78947,                0.85433,                0.67269,                 1.0259,                0.72092,                 1.7186,              0.0002572,              0.0002572,              0.0002572
                    126,                0.55408,                  0.385,                 1.2903,                0.99333,                0.78947,                0.85323,                 0.6767,                 1.0344,                 0.7002,                 1.7615,             0.00024472,             0.00024472,             0.00024472
                    127,                0.60683,                0.45457,                 1.3082,                0.94065,                0.83458,                0.86629,                0.68963,                 1.0059,                0.64047,                 1.7461,             0.00023254,             0.00023254,             0.00023254
                    128,                0.60284,                0.38415,                 1.2827,                0.94097,                0.83909,                0.86531,                0.66967,                 1.0533,                0.73766,                 1.7869,             0.00022065,             0.00022065,             0.00022065
                    129,                0.58973,                0.39265,                 1.3141,                0.94103,                0.83999,                0.86399,                 0.6647,                 1.0732,                0.72418,                 1.8317,             0.00020907,             0.00020907,             0.00020907
                    130,                0.58889,                 0.3952,                 1.3424,                0.94103,                0.83999,                0.86441,                0.66837,                  1.064,                0.73102,                 1.8393,              0.0001978,              0.0001978,              0.0001978
                    131,                0.61636,                0.40779,                 1.3381,                0.93876,                0.84211,                0.86141,                 0.6694,                 1.0752,                0.68318,                 1.8547,             0.00018685,             0.00018685,             0.00018685
                    132,                0.61112,                 0.3899,                  1.317,                0.98029,                0.78947,                0.85622,                0.65408,                  1.111,                0.70489,                 1.8914,              0.0001762,              0.0001762,              0.0001762
