                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.7097,                 1.9079,                 2.3178,                0.53571,                  0.375,                0.42185,                0.24487,                 1.8956,                  2.287,                 2.5368,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.6501,                 1.8594,                 2.2931,                0.61581,                 0.3125,                0.45674,                0.27361,                 1.7751,                 2.4995,                 2.4731,              0.0013169,              0.0013169,              0.0013169
                     71,                   1.68,                 1.8916,                 2.3274,                0.65053,                    0.5,                0.45064,                0.25765,                 1.6712,                 2.1209,                 2.3733,               0.001307,               0.001307,               0.001307
                     72,                 1.5355,                  1.787,                 2.1358,                0.65276,                    0.5,                0.47478,                0.22022,                 1.7895,                 2.4622,                  2.533,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.6103,                 1.8516,                 2.2792,                0.62075,                    0.5,                0.44589,                0.24651,                 1.7787,                 2.4588,                 2.4671,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.5501,                 1.7753,                 2.1697,                 0.6895,                 0.4375,                0.49308,                0.28742,                 1.7317,                 3.2013,                 2.4462,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.5612,                 1.7733,                 2.1331,                0.60659,                0.48285,                0.52722,                0.30137,                 1.6021,                 2.2677,                 2.3142,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.5705,                 1.8885,                 2.2199,                0.73926,                 0.4375,                0.40617,                0.28935,                 1.6529,                 3.3668,                  2.441,              0.0012575,              0.0012575,              0.0012575
                     77,                  1.545,                 1.7805,                 2.1099,                0.70959,                 0.4375,                0.52504,                0.29576,                 1.6665,                 2.8527,                 2.4421,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.4857,                 1.7945,                 2.1858,                0.73256,                 0.5625,                0.60199,                0.30956,                 1.6823,                   2.24,                 2.4063,              0.0012377,              0.0012377,              0.0012377
                     79,                  1.514,                 1.7513,                 2.1352,                0.59706,                  0.625,                0.58965,                0.27326,                 1.6628,                 2.3437,                 2.4173,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.4726,                 1.6103,                 2.0179,                0.62236,                  0.625,                0.57833,                0.31338,                 1.6296,                 2.5083,                 2.3832,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.4824,                  1.717,                 2.0918,                0.55486,                0.39052,                0.37821,                 0.2165,                 1.7513,                  3.213,                 2.5548,               0.001208,               0.001208,               0.001208
                     82,                 1.4935,                 1.6521,                 2.0781,                0.55019,                0.30646,                0.32559,                0.16976,                 1.8768,                 3.7348,                 2.6073,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.4216,                 1.6011,                  2.002,                0.43873,                  0.375,                0.38708,                0.22207,                 1.7242,                  2.396,                 2.4716,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.5251,                 1.6359,                 2.0934,                0.85539,                 0.4375,                0.51291,                0.25667,                 1.6387,                 2.6126,                 2.4194,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.4354,                 1.6793,                 2.1254,                 0.6537,                0.59097,                0.54822,                0.28463,                 1.6582,                 2.1978,                 2.4161,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.4949,                 1.6994,                 2.1268,                0.51549,                 0.5625,                0.51812,                 0.3017,                 1.5708,                  2.579,                 2.3767,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.4995,                 1.5812,                  2.042,                0.47292,                 0.3125,                0.40395,                0.22673,                 1.6185,                 2.7994,                 2.3615,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.4932,                 1.6264,                  2.095,                0.76414,                0.40681,                0.45068,                0.22758,                 1.6861,                 2.9606,                  2.387,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.4739,                  1.636,                 2.0419,                0.71863,                 0.4375,                0.48575,                0.26565,                 1.5902,                 2.2424,                 2.3755,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.3466,                 1.5624,                   1.99,                 0.6879,                 0.4375,                0.56012,                 0.3039,                 1.4776,                 2.2013,                 2.2307,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.4245,                 1.5921,                  1.957,                0.67425,                    0.5,                0.61596,                0.31452,                 1.7208,                 2.0911,                  2.533,               0.001109,               0.001109,               0.001109
                     92,                 1.4457,                 1.5204,                 2.0362,                0.74271,                 0.3125,                0.41662,                 0.2376,                 1.7409,                 3.2991,                 2.5759,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.4147,                   1.54,                 1.9961,                 0.5932,                  0.375,                0.48441,                0.28835,                 1.5552,                  2.804,                 2.4366,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.3683,                 1.4638,                 2.0285,                0.63869,                0.66379,                0.59302,                0.36323,                 1.6023,                 2.2748,                 2.4965,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.3611,                 1.4973,                 2.0121,                0.52867,                 0.5625,                0.52412,                0.29734,                 1.8628,                 2.8115,                 2.7181,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.3991,                 1.4504,                 1.9755,                0.85496,                    0.5,                0.55915,                0.31454,                 1.6527,                 2.5401,                 2.3475,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.3729,                 1.4501,                 1.9741,                0.58368,                 0.5625,                 0.5105,                0.32527,                 1.5311,                 2.2205,                 2.1888,              0.0010496,              0.0010496,              0.0010496
                     98,                  1.305,                 1.3817,                 1.9094,                0.63843,                0.55244,                0.48521,                0.26043,                 1.8123,                 2.6273,                 2.5701,              0.0010397,              0.0010397,              0.0010397
                     99,                  1.355,                 1.4814,                 1.9701,                0.95295,                 0.4375,                0.53017,                0.31554,                 1.6451,                 2.3833,                 2.5657,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.3776,                 1.4111,                 1.9969,                0.60358,                 0.5625,                0.58141,                0.32628,                 1.5049,                 2.2208,                 2.3599,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.3239,                 1.3469,                 1.9262,                0.73371,                 0.4375,                0.56949,                0.31053,                 1.6715,                 2.1164,                 2.6922,                0.00101,                0.00101,                0.00101
                    102,                 1.3086,                 1.3263,                 1.9567,                0.87093,                0.42326,                0.56486,                0.29007,                 1.9159,                  2.036,                 2.7651,              0.0010001,              0.0010001,              0.0010001
