                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.6521,                 1.7046,                 2.2488,                 0.8024,                 0.4375,                0.54309,                0.24956,                 1.5989,                 2.6052,                 2.3761,              0.0014455,              0.0014455,              0.0014455
                     73,                 1.7137,                 1.9145,                 2.3064,                0.63181,                  0.375,                0.39113,                0.17817,                 1.5611,                 2.7233,                 2.3436,              0.0014315,              0.0014315,              0.0014315
                     74,                 1.6507,                 1.7746,                 2.2942,                0.61458,                0.40006,                0.40341,                0.18682,                  1.551,                 2.7548,                 2.3087,              0.0014174,              0.0014174,              0.0014174
                     75,                 1.6638,                 1.7972,                 2.2337,                0.20722,                    0.5,                0.17943,                0.09031,                 1.5808,                  2.969,                 2.2752,              0.0014032,              0.0014032,              0.0014032
                     76,                 1.5911,                 1.6918,                  2.217,                0.63397,                    0.5,                0.48824,                0.27147,                  1.678,                 2.6195,                 2.3665,              0.0013889,              0.0013889,              0.0013889
                     77,                 1.5974,                 1.7948,                  2.222,                0.64577,                 0.4375,                0.48274,                0.26417,                 1.6396,                  2.662,                 2.3449,              0.0013744,              0.0013744,              0.0013744
                     78,                 1.6807,                 1.7405,                 2.2752,                0.63863,                    0.5,                 0.5124,                0.27607,                 1.6365,                 2.4792,                  2.435,              0.0013599,              0.0013599,              0.0013599
                     79,                 1.6398,                 1.7513,                 2.2427,                 0.6009,                    0.5,                0.53091,                0.27136,                 1.6354,                   2.46,                  2.363,              0.0013454,              0.0013454,              0.0013454
                     80,                 1.6662,                 1.8231,                  2.279,                0.42892,                 0.3125,                0.40655,                0.19871,                 1.6056,                 2.6572,                 2.3103,              0.0013307,              0.0013307,              0.0013307
                     81,                  1.626,                 1.7534,                 2.2777,                0.52391,                 0.3125,                0.37274,                 0.1574,                 1.6915,                 3.2449,                 2.4227,              0.0013159,              0.0013159,              0.0013159
                     82,                 1.6291,                 1.6984,                  2.241,                0.68701,                 0.4375,                0.46034,                0.22684,                  1.605,                 2.8553,                 2.3714,              0.0013011,              0.0013011,              0.0013011
                     83,                 1.6504,                 1.6641,                 2.2529,                0.72089,                 0.4375,                0.51554,                0.24692,                 1.5979,                 2.6398,                 2.3612,              0.0012862,              0.0012862,              0.0012862
                     84,                 1.5925,                 1.6388,                 2.1832,                0.60918,                 0.6875,                0.60679,                 0.2907,                 1.6044,                  2.364,                 2.3101,              0.0012712,              0.0012712,              0.0012712
                     85,                 1.5624,                 1.6109,                 2.1931,                0.77666,                    0.5,                0.56595,                0.31236,                  1.633,                 2.2955,                  2.288,              0.0012562,              0.0012562,              0.0012562
                     86,                 1.6076,                 1.5707,                 2.2295,                0.84635,                 0.4375,                0.49059,                0.27096,                 1.7199,                 2.7246,                 2.4062,              0.0012411,              0.0012411,              0.0012411
                     87,                 1.5676,                 1.5225,                 2.2016,                0.61185,                0.59213,                 0.5924,                0.31565,                 1.6693,                 2.3363,                 2.3532,               0.001226,               0.001226,               0.001226
                     88,                 1.4979,                  1.532,                 2.1098,                0.73887,                    0.5,                0.60513,                0.31395,                 1.6607,                 2.3639,                 2.2802,              0.0012108,              0.0012108,              0.0012108
                     89,                 1.5582,                 1.5367,                 2.1398,                0.73743,                0.52794,                 0.5936,                0.30938,                 1.5488,                 2.4477,                 2.1632,              0.0011955,              0.0011955,              0.0011955
                     90,                  1.571,                 1.5382,                 2.1503,                0.73938,                 0.4375,                0.55474,                0.32311,                 1.5634,                 2.3913,                 2.1986,              0.0011802,              0.0011802,              0.0011802
                     91,                 1.5572,                 1.5841,                 2.1769,                0.84957,                    0.5,                0.56389,                0.33771,                 1.6168,                 2.4978,                 2.3584,              0.0011649,              0.0011649,              0.0011649
                     92,                 1.4929,                 1.5319,                 2.1232,                0.70234,                 0.4375,                0.54405,                0.30379,                  1.567,                 2.5084,                 2.2483,              0.0011495,              0.0011495,              0.0011495
                     93,                 1.5117,                 1.4966,                 2.1794,                0.72133,                0.48639,                0.50675,                0.27781,                 1.6029,                 2.7554,                 2.3108,              0.0011341,              0.0011341,              0.0011341
                     94,                  1.535,                 1.4343,                 2.1352,                0.70872,                  0.375,                0.45337,                0.22687,                 1.6715,                 2.8628,                 2.4459,              0.0011186,              0.0011186,              0.0011186
                     95,                 1.5242,                 1.4723,                 2.0993,                0.73626,                    0.5,                0.51346,                0.25563,                 1.7097,                 2.8253,                 2.4699,              0.0011032,              0.0011032,              0.0011032
                     96,                 1.5712,                 1.4444,                 2.2052,                0.65068,                 0.5625,                0.52641,                0.27545,                 1.6337,                 2.6947,                 2.3456,              0.0010877,              0.0010877,              0.0010877
                     97,                  1.557,                 1.4512,                 2.1994,                0.66779,                0.62838,                0.57869,                0.35377,                 1.5333,                  2.465,                 2.2933,              0.0010722,              0.0010722,              0.0010722
                     98,                 1.4429,                 1.3767,                  2.088,                0.78625,                 0.5625,                0.58577,                0.36019,                 1.5984,                 2.3446,                 2.3159,              0.0010566,              0.0010566,              0.0010566
                     99,                 1.5608,                 1.3838,                 2.1241,                 0.7784,                 0.5625,                0.58946,                0.34447,                 1.7058,                 2.3837,                 2.3525,              0.0010411,              0.0010411,              0.0010411
                    100,                 1.5093,                 1.2998,                 2.0836,                0.69221,                0.56227,                0.54777,                0.32106,                 1.6707,                 2.4104,                   2.31,              0.0010256,              0.0010256,              0.0010256
                    101,                    1.5,                 1.3757,                 2.1412,                0.66102,                    0.5,                0.55107,                0.32931,                 1.5501,                 2.4647,                 2.2444,                0.00101,                0.00101,                0.00101
                    102,                 1.5257,                 1.4061,                 2.1616,                0.77294,                0.42662,                0.49661,                0.31907,                 1.6061,                 2.7329,                 2.3019,             0.00099445,             0.00099445,             0.00099445
                    103,                 1.4605,                 1.3459,                 2.0355,                 0.6364,                  0.625,                0.58955,                0.36801,                 1.5638,                 2.4391,                 2.2379,              0.0009789,              0.0009789,              0.0009789
                    104,                 1.4053,                 1.2845,                 1.9836,                0.74744,                 0.6875,                0.67545,                0.39073,                 1.5552,                 2.1974,                 2.2039,             0.00096336,             0.00096336,             0.00096336
                    105,                 1.5292,                 1.3569,                 2.1328,                      1,                0.62312,                0.74633,                0.43819,                 1.5763,                 1.9927,                 2.2654,             0.00094784,             0.00094784,             0.00094784
                    106,                 1.4878,                  1.324,                 2.0924,                0.74692,                0.73846,                 0.7357,                0.42508,                 1.6555,                 1.9654,                 2.3254,             0.00093233,             0.00093233,             0.00093233
                    107,                 1.5217,                 1.3121,                 2.1258,                0.89987,                0.56176,                0.69041,                0.42065,                 1.5956,                 2.1041,                  2.211,             0.00091683,             0.00091683,             0.00091683
                    108,                  1.403,                 1.2494,                  2.003,                 0.6377,                  0.625,                0.62074,                0.41648,                 1.4382,                 2.3502,                 2.1222,             0.00090136,             0.00090136,             0.00090136
                    109,                 1.3818,                 1.2475,                 1.9987,                0.74976,                0.56183,                0.59445,                0.40187,                 1.4639,                 2.3052,                 2.0985,             0.00088592,             0.00088592,             0.00088592
                    110,                 1.4219,                 1.2848,                  1.982,                0.83168,                0.61819,                0.63615,                0.42016,                 1.5098,                 2.2303,                 2.1681,             0.00087051,             0.00087051,             0.00087051
                    111,                  1.372,                 1.2569,                 1.9563,                 0.7943,                  0.625,                0.65206,                0.41408,                 1.5144,                 2.3198,                 2.1663,             0.00085513,             0.00085513,             0.00085513
                    112,                 1.4393,                 1.2791,                 2.0191,                0.76386,                    0.5,                0.62167,                0.39154,                 1.6086,                 2.3617,                 2.2558,             0.00083979,             0.00083979,             0.00083979
                    113,                 1.3889,                 1.1597,                 1.9822,                0.81585,                 0.4375,                0.48736,                0.32099,                 1.7763,                  2.681,                 2.4555,             0.00082449,             0.00082449,             0.00082449
                    114,                 1.2932,                 1.2473,                 1.9193,                0.47242,                  0.625,                0.48202,                0.30381,                 1.6788,                 2.4276,                 2.4224,             0.00080924,             0.00080924,             0.00080924
                    115,                   1.47,                 1.3273,                 2.0707,                0.77904,                0.66221,                0.64887,                0.36219,                 1.6395,                 2.0849,                  2.293,             0.00079404,             0.00079404,             0.00079404
                    116,                 1.3962,                 1.1673,                 2.0345,                0.62383,                 0.5625,                0.60235,                0.36889,                 1.5632,                 2.2562,                 2.2334,             0.00077889,             0.00077889,             0.00077889
                    117,                 1.4639,                 1.2503,                 2.0587,                0.85381,                    0.5,                0.59815,                0.38104,                 1.5483,                 2.1073,                  2.241,              0.0007638,              0.0007638,              0.0007638
                    118,                 1.3961,                 1.1782,                 2.0048,                0.66908,                0.63224,                0.66398,                0.37999,                 1.6052,                 2.3197,                 2.2431,             0.00074877,             0.00074877,             0.00074877
                    119,                 1.4382,                 1.2228,                 2.0185,                0.58674,                   0.75,                0.64089,                0.39285,                 1.5728,                 2.2735,                 2.2097,              0.0007338,              0.0007338,              0.0007338
                    120,                 1.3536,                 1.0925,                 1.9778,                0.67926,                   0.75,                0.63978,                0.39017,                 1.4757,                 2.1046,                 2.1303,              0.0007189,              0.0007189,              0.0007189
